id,takedown_day,dose,SVL,clutch,notes,mouth_qty,shed_qty
1,18,10000000,27.12,ARL4,,0,0
2,12,1000000,23.18,ARL4,,42.43334961,5.730997086
3,18,10000000,23.38,ARL4,,70.84779358,5.817419052
4,12,100000,22.17,ARL4,,0,0
5,24,100000,29.41,ARL2,,0,0
6,24,1000000,20.21,ARL4,,0,0
7,12,1000000,,ARL1,missing tapdpole,NA,NA
8,18,1000000,32.76,ARL2,,0,0
9,18,100000,25.02,ARL1,,0,0
10,18,1000000,30.79,ARL2,,0,0
11,6,100000,23.89,ARL4,,0,0
12,6,100000,24.61,ARL4,,0,0
13,24,100000,25.56,ARL1,,0,0
14,24,10000000,24.42,ARL4,,186.6427307,55.93012333
15,24,10000000,26.46,ARL4,,3.82219553,0
16,18,100000,42.56,ARL4,,0,0
17,12,100000,27.6,ARL4,,0,0
18,18,100000,27.17,ARL1,,0,0
19,18,1000000,19.09,ARL4,,0,0
20,18,1000000,32.87,ARL 4,,0,0
21,24,1000000,27.13,ARL4,,0,0
22,12,10000000,22.35,ARL1,,109.4347382,29.46994781
23,12,1000000,22.25,ARL4,,1272.845703,227.3729897
24,12,100000,23.96,ARL4,,0,0
25,6,1000000,17.25,ARL4,,7.874800682,0
26,6,100000,34.7,ARL3,No DNA,0,NA
27,6,100000,29.2,ARL1,No DNA,0,NA
28,12,1000000,20.17,ARL4,,79.62178802,27.81834412
29,6,100000,19.57,ARL4,,0,0
30,18,100000,19.48,ARL4,,0,0
31,6,10000000,32,ARL2,,75.69158936,37.34306335
32,6,1000000,24.53,ARL4,No DNA,0,NA
33,18,100000,19.39,ARL4,,0,0
34,6,1000000,21.22,ARL4,,7.333593369,4.429288387
35,24,1000000,34.43,ARL2,,295.0709229,54.9967289
36,18,10000000,14.7,ARL4,,20.44727325,3.627823591
37,6,10000000,29.59,ARL2,,83.5849762,1355.952911
38,12,1000000,23.6,ARL4,,0,0
39,18,10000000,27.02,ARL1,,0,0
40,18,10000000,20.86,ARL4,,42.4522171,0
41,18,100000,27.13,ARL1,,0,0
42,12,100000,27.19,ARL4,,1.802238822,0
43,6,10000000,19.75,ARL4,,27.20338058,31.64342403
44,12,1000000,17.27,ARL4,,0,0
45,12,1000000,22.62,ARL4,,0,0
46,18,10000000,32.35,ARL2,,252.0151062,361.116333
47,24,100000,20.47,ARL4,,0,0
48,24,10000000,25.97,ARL4,,0,0
49,18,100000,24.31,ARL3,,0,0
50,18,1000000,36.16,ARL1,,0,0
51,12,1000000,28.75,ARL2,,28.98002243,147.738657
52,18,10000000,19.92,ARL1,,325.8452759,328.5557556
53,18,10000000,22.84,ARL1,,5.154663563,0
54,24,1000000,20.93,ARL4,,0,0
55,24,10000000,35.21,ARL4,,108.6137161,33.73295364
56,24,10000000,26.15,ARL4,,12.57798195,0
57,12,100000,21.87,ARL4,,0,0
58,18,1000000,25.83,ARL1,,0,0
59,18,1000000,25.57,ARL4,,0,0
60,18,1000000,20.46,ARL4,,5.969504356,0
61,6,10000000,22.75,ARL4,,73.20820618,21.6172924
62,12,1000000,21.25,ARL4,,8.102566719,0
63,24,10000000,22.1,ARL4,,378.7150269,201.658783
64,6,100000,59.13,ARL4,,0,0
65,12,1000000,31.23,ARL2,,0,0
66,6,10000000,22.46,ARL4,,29.82992744,4.147267818
67,24,10000000,28.44,ARL4,,219.9911804,100.5901241
68,24,100000,28.65,ARL4,,0,0
69,6,10000000,23.68,ARL4,,82.52627563,622.1176147
70,12,100000,22.51,ARL4,,0,0
71,24,100000,19.71,ARL4,,0,0
72,6,10000000,20.01,ARL4,,111.1368103,95.25283813
73,6,100000,28.65,ARL1,No DNA,0,NA
74,6,10000000,19.66,ARL4,,233.5411987,271.4686966
75,24,1000000,44.19,ARL4,,0,0
76,18,100000,34.08,ARL1,,0,0
77,24,1000000,23.02,ARL4,,0,0
78,6,100000,21.29,ARL4,No DNA,1.895113945,NA
79,12,100000,28.41,ARL2,,13.54245758,29.21403408
80,24,10000000,21.84,ARL1,,2685.287842,476.4979172
81,6,1000000,34.89,ARL4,,0,0
82,6,1000000,34.14,ARL4,,0,0
83,18,1000000,22.74,ARL4,,14.47219658,0
84,18,1000000,16.46,ARL4,,4.61616993,0
85,18,10000000,15.64,ARL4,,402.3352661,332.2941835
86,12,1000000,26.92,ARL4,,4.867898941,0
87,24,100000,24.36,NA,,0,0
88,6,10000000,27.28,ARL4,,409.3722534,1568.444672
89,24,1000000,22.71,ARL1,,115.0079346,280.6187248
90,18,100000,24.81,ARL4,,0,0
91,6,1000000,25.94,ARL4,,3.52409935,0
92,24,10000000,17.84,ARL3,No DNA,206.7096558,NA
93,12,1000000,20.95,ARL4,,2.201784134,0
94,24,100000,17.78,ARL4,,0,0
95,12,1000000,24.99,ARL4,,0,0
96,6,1000000,24.85,ARL4,,6.269869804,33.46289158
97,12,10000000,29.68,NA,,14.44124794,2.435134411
98,24,100000,21.63,ARL4,,0,0
99,18,100000,25.23,ARL4,,0,0
100,18,1000000,23.91,ARL4,,6.144332409,0
101,12,10000000,24.64,ARL3,,504.6659546,113.8934517
102,12,1000000,40.19,ARL4,,0,0
103,18,1000000,18.05,ARL4,,0,0
104,6,1000000,27.89,ARL4,,3.665343285,0
105,24,100000,19.77,ARL4,,4.15154314,0
106,24,100000,25.01,ARL2,,0,0
107,12,10000000,23.52,ARL1,,86.30619812,62.07820892
108,6,100000,30.2,ARL4,,0,0
109,18,10000000,19.07,ARL4,,172.3406677,141.9330311
110,12,10000000,21.92,ARL4,,6.003321648,0
111,6,1000000,21.58,ARL4,,0,0
112,6,1000000,22.63,ARL3,,31.82975197,34.10552025
113,24,10000000,26.16,ARL4,,62.32447433,56.46901703
114,18,10000000,19.21,ARL4,,73.06486511,27.81834412
115,12,100000,32.15,ARL1,,0,0
116,12,100000,18.57,ARL3,,5.722621918,0
117,24,1000000,35.61,ARL4,,0,0
118,6,1000000,22.49,ARL4,No DNA,1.887113094,NA
119,12,10000000,35.87,ARL2,,309.2046204,1185.734406
120,24,1000000,17.28,ARL4,,0,0
121,24,10000000,31.61,ARL4,,0,0
122,12,1000000,32.67,ARL4,,0,0
123,6,10000000,19.93,ARL4,,86.21620941,53.14751148
124,24,1000000,27.25,ARL1,,0,0
125,12,10000000,22.08,ARL3,,161.2020874,460.926857
126,6,1000000,24.46,ARL1,,2.334486723,12.59514713
127,24,1000000,24.01,ARL4,,2.263027668,0
128,12,100000,31.84,ARL4,,0,0
129,6,100000,21.01,ARL4,,3.340339184,0
130,12,10000000,27.93,ARL4,,88.12689209,201.491375
131,6,100000,25.22,ARL4,,0,0
132,24,100000,20.47,ARL4,,16.1729126,0
133,6,10000000,28.49,ARL4,,10.93992996,2.785600662
134,18,100000,19.56,ARL4,,0,0
135,12,10000000,37.57,ARL4,,0,0
136,6,100000,16.93,ARL4,,0,5.232453346
137,18,10000000,26.75,ARL4,,33.67266083,45.34781933
138,6,1000000,29.09,ARL4,,0,0
139,6,1000000,15.96,ARL1,,18.18042183,0
140,12,100000,23.27,ARL4,,0,0
141,24,10000000,18.82,ARL3,,242.8737183,217.4965668
142,6,1000000,27.39,ARL4,,6.406572342,0
143,6,100000,21.58,ARL3,,0,0
144,18,100000,24.72,ARL4,,0,0
